username,review,rating,tahun,aplikasi
Bonek Ganteng,"gangguan gangguan gangguan.. di saat urgent butuh dana dan setelahnya menerima transferan malah gangguannnnn.. bukan sekali dua kali seperti ini apes terus pake BCA gua mah, ya biarpun pihak bca ga rugi kehilangan satu org pengguna seperti gua tapi ini ma ungkapan guaa ajaaa sumpah bener2 muakk. bye BCA",1,2025,bca
Faisal Rivaldi,Buruk memperhambat transaksi ada aja masalahnya,1,2025,bca
Bayu Mas,gila kalo gangguan lama banget,1,2025,bca
Muhammad Hasan,terlalu sering melakukan maintenance tiap malam bikin transaksi jadi sulit. hati hati nasabah kabur.,1,2025,bca
Achmad Gozali,"PEMBARUAN, GANGGUAN TERUS..... BKIN BAGUS KGA MALAH NAMBAH ANCURR 🙈👎👎👎👎",1,2025,bca
Wahyu din,saat terdesak tengah malam begini malah gabisa pake...BCA otaknya dmn?,1,2025,bca
Latifha Mysha,"KPD pihak BCA mohon fitur QRIS,,di hapus untuk mencegah judol......dan demi kenyamanan semua pihak yg terkait dengan BCA......dan pembobolan rekening nasabah bank karna di salah gunakan......sekali lagi tolong hapus FITUR QRIS.......DEMI KENYAMAN KITA SEBAGI NASABAH BCA.......🙏🙏🙏🙏🙏🙏🙏",1,2025,bca
yana robih,"bca smkin ksini tambah parah aja,aplikasi harus di update tp stelah update bknny tmbh bagus mlh tambah parah...",1,2025,bca
ahmad yusri,lagi lagi saldo saya terpotong ketika melakukan transaksi yang gagal,1,2025,bca
Farhan Afrizal,aplikasi sering update tpi tetep aja sering ada pemeliharaan sistem terus,1,2025,bca
arinda lukwiyana,lemottttt,1,2025,bca
Bang Malik,"ini gimana daah perasaan dulu sebelum update lancar2 aja mau lihat saldo muter2 terus, semenjak update bukanya makin lancar malah makin gajelas",1,2025,bca
Ihsan Iben,makin ke sini makin gak nyaman selalu loding teruss,1,2025,bca
Kurniawan Goyali,pemeliharaan terusss....pindah bank aja x ya,1,2025,bca
Gcell Kartama,"kebiasaan kali sering gangguan pas malam minggu,udah gitu lampu indikator merahnya lama lgi anj,sebelum update aja dah mntp,gk usah di-update klw malah nambah masalah,mbankking dipakek cuma buat byr,ngirim scan brcode doang..gk usah diperberat atau nambah² inj itu jnck",1,2025,bca
Nandito Rizky Arian,ga jelas.. gua lagi butuh malah eror,1,2025,bca
Widia Safira,apk suka eror masak jam 12 malam gk bisa cek saldo gk bisa buat bayar tolong apk nya segera di perbarui masak sistem eror terus,1,2025,bca
bagus bastian,pelayanan buruk saldo sudah terpotong tapi ga masuk2 ke rekening tujuan,1,2025,bca
Dheby_ Shoes,makin kucrut eror kg jelas mana dah tengah malam ini 00.37 1jam setengah kg bisa transaksi... jd ketahan grgr eror kucrut,1,2025,bca
Andri GaminG,"buruk makin kesini makin buruk setelah ada update, jaringan bagus tapi gangguan Mulu indikator hijau tapi gak bisa transaksi.bukan ny di bikin tambah nyaman malah di bikin kesel,, ngecek saldo aja lemot. kecewa sebagai pelanggan BCA",2,2025,bca
Faris Kautsar,setelah di update jadi susah dibuat transaksi,2,2025,bca
Oll. Ex,mbca gangguan trus,1,2025,bca
Ardy Dwi Prastyo,sering trobel parah,1,2025,bca
Syahrru Rhomadlon,Longor. Kebanyakan maintenance. gak guna!,1,2025,bca
BotaXx 1987,Gmana ini.. Syah dah selesai download juga.. Masih aja gak bsa.. NO SAYAH SUDAH SAYAH DAFTARKAN.tolong dong.,1,2025,bca
Mardian 04,"Makin kesini makin kacau aja ini, suka eror transaksi tidak dapat dilakukan terus, mana erornya lama. malu2in sumpah sekelas bca kaya begini mulu.",1,2025,bca
Utep Firmansyah,sumpah ribet lampu indikator!! ga jelas,1,2025,bca
Tedy Schwantz,"aplikasi bca mobile terbaru sangat buruk, banyak gagalnya transaksi, sinyal bagus tetep indikator merah, kata maaf tidak menjadikan penggunaan aplikasi jadi lebih baik",1,2025,bca
Reza Firmansyah,aplikasi jadi gajelasss sementara transaksi tidak dapat di proses tunggu beberapa saat lagi.. alahhh sinyal merah lama banget giliran udah hijau sama aja gabisa transaksi.. dh lah pindah bank aja,1,2025,bca
Ardy Saputra,bca yang sekarang sangat jelek sinyal sering merah,1,2025,bca
dhiel al shahab,"sinyal bagus, kuota banyak tapi sinyal biru terussss, gimana nih BCA",1,2025,bca
Anggara Lapachi,harusnya kayak bank lain gak usah ada lampu indikatornya...lampu sudah hijau di pencet jadi biru sending terus....habis itu gagal.....gitu terus...,2,2025,bca
Ts In,"setelah update malah jadi parahh parahhh,,lambat sekali ,indikator merah.nya kaga ijo"",,lama"" pindah ATM aja ke sebelah yg lancar""",1,2025,bca
Sarmila sarmilah86,semuanya bagus. trkadang suka bikin kesel jaraingan BCA nya pake BPJS loding🤣,1,2025,bca
Oleh Hidayat,aplikasi tidak dapat digunakan transaksi. sudah transfer saldo kesedot tapi ga msuk msuk k no rekening tujuan! mau cek saldo juga susah SENDING terus padahal jaringan bagus,1,2025,bca
Trianto Setyo,setelah beberapa maintenence jadi susah buat akses,1,2025,bca
Orang Malas,"skr buka mbca nya lama nget, mau trf lama, qris lama, ada apa dgn layanan BCA skr?",1,2025,bca
Andre Olalla,setelag di update malah jadi busuk,1,2025,bca
Ari Daryanto46,"kenapa setelah update apk makin lemot ajh, ini BCA mencewakan padahal ini bank swasta kok gini mau pada pindah ke BUMN kah?",2,2025,bca
Leopart Gaming,"semenjak update versi terbaru jadi sangat² berat, mau cek saldo aja lama dan melakukan transaksi juga lama.. mohon segera diperbaiki",1,2025,bca
Hendar,apa sih loading truss peq,2,2025,bca
Ize77 Arempek,pliss deh kalau pemeliharaan sistem jangan di malam minggu atau minggu dini hari. ini sangat mengganggu karena harusnya weekend ini lancar karena banyak juga yang membutuhkan. mending malam senin saja kalau jadwal pemeliharaan.. ini lagi di perjalanan luar kota butuh transaksi harus menunggu lama gara gara pemeliharaan sistem,1,2025,bca
Debrut Barker,knapa sih kalau malam loding trus jadi susah transaksi kalau malam,1,2025,bca
Elvan Awaludin Wijaya,"Setelah update malah makin aneh, makin parah bro kacau2, Dan bisa2nya malam minggu M-banking nya error, haduuh",1,2025,bca
Alfan Kids,"smakin kesini smakin kacau indikator meraaah trs, pdhal sinyal bagus dan stabil",1,2025,bca
Ceper Wendy,kirang nyaman,1,2025,bca
andi kupl,"setelah di update kok lama banget indikator merahnya.. setiap mau transaksi lama banget.. lebih bagus versi sebelumnya, cepet gag lelet kayak sekarang..",1,2025,bca
Amjali _,top up dana duit gak masuk saldo kepotong parah..bank busuk dah 3 kali ni w top up dana gak masuk,1,2025,bca
Kelvin•Ryan Channel,LEMOTTTTT,1,2025,bca
Aisya qumairah Ramadhani,sangat kecewa setelah di perbarui aplikasi makin lemot,1,2025,bca
Muhammad Rosyid,setelah update malah lemot,1,2025,bca
Ari Susanto,LEMOTTTTT......,1,2025,bca
Denny Indrawan,sering eror malah kacau min min,1,2025,bca
abng Aci20,lelet banget akhir ² ini BCA nya,2,2025,bca
Adi Mukti,"BCA, kalau lagi pemeliharaan mending gak usah bisa login sekalian, bukan sekali dua kali bisa login mau transaksi terus loading, tapi saldo udah kepotong. mending kalau balik lagi",1,2025,bca
Janwar Andriansyah,"semakin buruk aplikasi nya.. berat , lemot sekali di gunakan bertransaksi. bahkan sekedar cek saldo pun harus tunggu beberapa menit,makin payah aplikasi nya",1,2025,bca
Abdul Kohar,makin lemot,1,2025,bca
Butonkz Donkz,makin kesini malah makin lemot bukanya makin bagus,1,2025,bca
Robi Robi,bener² parah selalu ada problem dan gangguan saya kirim duit saldo saya sudah berkurang namun tidak terkirim BCA PARAHH,1,2025,bca
desviana roderica,"kenapa ga bisa cek mutasi,tolong di bantu",1,2025,bca
Akbar Ramdani,update malah bikin lag,1,2025,bca
aceng jalu,lambat sistemnya payah🙄🙄🙄👹,1,2025,bca
Syamsul munir,makin lama bukan makin bagus..malah makin jelek,1,2025,bca
Ade Supriadi,ini gmn sih kok gangguan trus bca aneh bnr kg jls ni bca jangan buat nasabah kecewa dong,1,2025,bca
Irgi Nurfaezy,""" transaksi sedang tidak bisa digunakan "" maintenance apa gimana jir? mau tarik tunai malah gini",1,2025,bca
Muhammad Adi,gangguan Mulu dah bca masa seminggu bisa 2 kali lebih gangguan nya,1,2025,bca
Kavana Amelia,"Eror terus.. Lampunya merah terus.. parah ini bca dikit"" eror lampu hijau aja gk bisa masuk parah bener",1,2025,bca
